OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,GlobalID,Shape__Length
73,HAI-MTM-B1-Z-CBL,110,COMMISSIONED,HAI-MTM-B1 Cable Section,CABLE,110 CABLE,dc171a7a-4637-4110-b7e4-ed14b404a5d6,856.19226057841
74,HAI-TMI-A,110,COMMISSIONED,Hairini - Te Matai A,TRANSLINE,110 TRANSLINE,42381f8e-8cab-4e2c-93bf-ccdc07e63d86,17738.4502957743
75,HAM-KPO-A,110,COMMISSIONED,Hamilton - Karapiro A,TRANSLINE,110 TRANSLINE,355e8ac6-3b21-4842-a5be-dd4e502fdf6f,26545.3519684337
77,HAM-WHU-A,110,COMMISSIONED,Hamilton - Waihou A,TRANSLINE,110 TRANSLINE,bc411a65-df39-43e3-8877-585cb1a5509b,45291.2902560394
79,HAY-MLG-A,110,COMMISSIONED,Haywards - Melling A,TRANSLINE,110 TRANSLINE,0372e26b-05dd-4230-b88a-b63f996defac,2768.89357059808
80,HAY-MLG-B,110,COMMISSIONED,Haywards - Melling B,TRANSLINE,110 TRANSLINE,d7594d77-ec02-43cd-8ba9-5cba94a25fd3,9968.2403353971
81,HAY-TKR-A,110,COMMISSIONED,Haywards - Takapu Road A,TRANSLINE,110 TRANSLINE,d4c7eb42-a5fb-4299-ab76-86386ae54e63,9970.50897542516
82,HAY-UHT-A,110,COMMISSIONED,Haywards - Upper Hutt A,TRANSLINE,110 TRANSLINE,9f937132-9d44-4ba2-966b-f7881cb77059,11729.2402976033
83,HEN-HEP-A,110,COMMISSIONED,Henderson - Hepburn Road A,TRANSLINE,110 TRANSLINE,dbe81f0d-b0b0-44ba-a48a-e4ca9fe04f60,6932.05876506591
84,HEN-MDN-A,220,COMMISSIONED,Henderson - Marsden A,TRANSLINE,220 TRANSLINE,5cc4b30f-4c56-43a7-b076-f699feaa318c,120130.695789509
85,HEN-MPE-A,110,COMMISSIONED,Henderson - Maungatapere A,TRANSLINE,110 TRANSLINE,45d55062-e6a8-4e00-acd6-e338dd58e476,138073.667677848
86,HEN-ROS-A,110,COMMISSIONED,Henderson - Mt Roskill A,TRANSLINE,110 TRANSLINE,83e2b2d9-e92f-413c-a95e-9892e122a6a2,14771.2208048726
87,HEP-ROS-A,110,COMMISSIONED,Hepburn Road - Mt Roskill A,TRANSLINE,110 TRANSLINE,e5f50801-91e7-4fc6-a29b-7c554f96013a,7541.1155941374
88,HIN-KPO-A,110,COMMISSIONED,Hinuera - Karapiro A,TRANSLINE,110 TRANSLINE,a8c1b83a-00fa-4323-8e50-6cd4d30b8f1e,21363.8041642517
89,HLY-DEV-A,220,COMMISSIONED,Huntly - Deviation A,TRANSLINE,220 TRANSLINE,1b6c31a2-d969-4e5e-b8ee-3e3e5d1ba306,17736.3460329837
90,HLY-TMN-A,220,COMMISSIONED,Huntly - Taumarunui A,TRANSLINE,220 TRANSLINE,07d2d966-5c0e-40c0-b519-dabbda98ac21,171413.797173943
91,HOB-PEN-A-CBL,220,COMMISSIONED,Hobson Street - Penrose Cable,CABLE,220 CABLE,b0d14535-5e2d-478a-b645-ecca8e6a7d5a,9232.85849978694
92,HOR-ISL-E,66,COMMISSIONED,Hororata - Islington E,TRANSLINE,66 TRANSLINE,c9636e4a-2064-4e8d-9099-a924e04374fd,46676.8519235746
93,HUI-MNI-A,110,COMMISSIONED,Huirangi - Motunui A,TRANSLINE,110 TRANSLINE,46c48b90-13e5-458a-8617-f25dae45190e,8780.31102130566
94,HWB-ROX-A,110,COMMISSIONED,Halfway Bush - Roxburgh A,TRANSLINE,110 TRANSLINE,e2003d64-5c28-4123-99c3-7d1186523880,143325.752433271
95,HWB-SDN-A,220,COMMISSIONED,Halfway Bush - South Dunedin A,TRANSLINE,220 TRANSLINE,c85f8da8-f44f-4fc3-a639-b2d65c4da16a,12991.5425049044
96,IGH-KIK-A,110,COMMISSIONED,Inangahua - Kikiwa A,TRANSLINE,110 TRANSLINE,00cc49ca-a99a-44b7-bb1e-f4d680fbfcb6,91909.6645585191
97,IGH-KIK-B,110,COMMISSIONED,Inangahua - Kikiwa B,TRANSLINE,110 TRANSLINE,6d70125a-8807-4b28-ad4e-fa5af9e08f5a,97097.5112492428
98,IGH-RFN-A,110,COMMISSIONED,Inangahua - Reefton A,TRANSLINE,110 TRANSLINE,bbbf052f-3427-4123-b8bf-7775613a8e83,32835.0602809686
101,INV-TWI-A,220,COMMISSIONED,Invercargill - Tiwai A,TRANSLINE,220 TRANSLINE,b08dd2c8-2485-40cc-9cb9-41fc198cf058,25227.5436301111
102,ISL-DEV-A,66,COMMISSIONED,Islington - Deviation A,TRANSLINE,66 TRANSLINE,b018ea24-f8d5-4e15-a9d1-df169eeca03a,6204.82835552956
103,ISL-KIK-A,220,COMMISSIONED,Islington - Kikiwa A,TRANSLINE,220 TRANSLINE,30dd5a85-71b2-43d5-ad58-7531d1dff372,229624.75845605
104,ISL-KIK-B,220,COMMISSIONED,Islington - Kikiwa B,TRANSLINE,220 TRANSLINE,3d9920ac-53ee-4920-a387-c1fa7d1ef707,237672.374325674
